,Gen,Name,Wins,Loses,Draws
0,0,none,0,0,0
0,0,dArwIn_G1_0a,2,1,0
1,0,dArwIn_G1_0b,1,2,0
0,0,dArwIn_G2_0a,2,1,0
1,0,dArwIn_G2_0b,2,1,0
0,0,dArwIn_G3_0a,2,1,0
1,0,dArwIn_G3_0b,2,1,0
0,0,dArwIn_G4_0a,2,1,0
1,0,dArwIn_G4_0b,2,1,0
0,0,dArwIn_G5_0a,1,2,0
1,0,dArwIn_G5_0b,2,1,0
0,0,dArwIn_G6_0a,1,2,0
1,0,dArwIn_G6_0b,2,1,0
0,0,dArwIn_G7_0a,2,1,0
1,0,dArwIn_G7_0b,2,1,0
0,0,dArwIn_G8_0a,0,3,0
1,0,dArwIn_G8_0b,1,2,0
0,0,dArwIn_G9_0a,2,1,0
1,0,dArwIn_G9_0b,2,1,0
